iter	Passed	Remaining
0	2	219
1	4	214
2	6	205
3	7	186
4	9	180
5	11	178
6	13	178
7	15	180
8	17	180
9	20	182
10	22	182
11	25	183
12	27	182
13	29	180
14	32	181
15	34	181
16	36	179
17	38	173
18	39	170
19	42	168
20	43	164
21	44	159
22	46	155
23	47	151
24	49	148
25	50	144
26	52	140
27	53	137
28	54	134
29	56	131
30	57	127
31	58	123
32	59	120
33	60	118
34	62	115
35	64	113
36	66	112
37	67	109
38	68	106
39	69	104
40	70	101
41	71	98
42	71	95
43	73	93
44	74	91
45	76	89
46	78	88
47	79	86
48	80	83
49	82	82
50	83	80
51	84	77
52	86	76
53	87	74
54	88	72
55	89	70
56	91	69
57	93	67
58	94	65
59	96	64
60	98	63
61	99	61
62	101	59
63	103	58
64	104	56
65	105	54
66	106	52
67	108	50
68	110	49
69	112	48
70	113	46
71	115	44
72	117	43
73	118	41
74	119	39
75	121	38
76	123	36
77	125	35
78	126	33
79	129	32
80	130	30
81	132	29
82	133	27
83	134	25
84	136	24
85	138	22
86	140	20
87	141	19
88	142	17
89	143	15
90	145	14
91	147	12
92	149	11
93	150	9
94	152	8
95	154	6
96	156	4
97	157	3
98	159	1
99	160	0
